Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
10/1/2025,76,52,64,2.6,1,0,0,0,0
10/2/2025,84,57,70.5,9.6,0,6,0,0,0
10/3/2025,85,57,71,10.6,0,6,0.14,0,0
10/4/2025,57,46,51.5,-8.4,13,0,2.47,0,0
10/5/2025,59,47,53,-6.5,12,0,T,0,0
10/6/2025,61,42,51.5,-7.5,13,0,0,0,0
10/7/2025,64,43,53.5,-5,11,0,0,0,0
10/8/2025,72,45,58.5,0.5,6,0,0,0,0
10/9/2025,84,54,69,11.4,0,4,T,0,M
10/10/2025,77,58,67.5,10.4,0,3,0.27,0,M
10/11/2025,77,42,59.5,2.8,5,0,0.6,0,M
10/12/2025,58,42,50,-6.2,15,0,0,0,0
10/13/2025,71,45,58,2.3,7,0,0.1,0,0
10/14/2025,72,52,62,6.7,3,0,0.73,0,0
10/15/2025,59,46,52.5,-2.4,12,0,0.03,0,0
10/16/2025,54,40,47,-7.4,18,0,0.61,0,0
10/17/2025,59,41,50,-4,15,0,0,0,0
10/18/2025,63,44,53.5,0,11,0,0,0,0
10/19/2025,75,46,60.5,7.4,4,0,T,0,0
10/20/2025,55,41,48,-4.7,17,0,T,0,0
10/21/2025,59,37,48,-4.3,17,0,0,0,0
10/22/2025,62,39,50.5,-1.4,14,0,0,0,0
10/23/2025,63,45,54,2.6,11,0,0,0,0
10/24/2025,63,41,52,1,13,0,0,0,0
10/25/2025,69,45,57,6.4,8,0,0,0,0
10/26/2025,65,45,55,4.8,10,0,0.1,0,0
10/27/2025,50,34,42,-7.8,23,0,0.07,0,0
10/28/2025,51,30,40.5,-8.9,24,0,0,0,0
10/29/2025,57,34,45.5,-3.5,19,0,0,0,0
10/30/2025,58,35,46.5,-2.1,18,0,0,0,0
10/31/2025,60,40,50,1.8,15,0,0,0,0
